PG.ProteinGroups,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.NrOfPrecursorsUsedForQuantification,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.NrOfPrecursorsUsedForQuantification,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.NrOfPrecursorsUsedForQuantification,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.NrOfPrecursorsUsedForQuantification,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.NrOfPrecursorsUsedForQuantification,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.NrOfPrecursorsUsedForQuantification,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.NrOfPrecursorsUsedForQuantification,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.NrOfPrecursorsUsedForQuantification,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.NrOfPrecursorsUsedForQuantification,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.NrOfPrecursorsUsedForQuantification,[11] yanliu_20180406_Phos_Noco_1.raw.PG.NrOfPrecursorsUsedForQuantification,[12] yanliu_20180406_Phos_Noco_2.raw.PG.NrOfPrecursorsUsedForQuantification,[13] yanliu_20180406_Phos_Noco_3.raw.PG.NrOfPrecursorsUsedForQuantification,[14] yanliu_20180406_Phos_Noco_4.raw.PG.NrOfPrecursorsUsedForQuantification,[15] yanliu_20180406_Phos_Noco_5.raw.PG.NrOfPrecursorsUsedForQuantification,[16] yanliu_20180406_Phos_Noco_6.raw.PG.NrOfPrecursorsUsedForQuantification,[17] yanliu_20180406_Phos_Noco_7.raw.PG.NrOfPrecursorsUsedForQuantification,[18] yanliu_20180406_Phos_Noco_8.raw.PG.NrOfPrecursorsUsedForQuantification,[19] yanliu_20180406_Phos_Noco_9.raw.PG.NrOfPrecursorsUsedForQuantification,[20] yanliu_20180406_Phos_Noco_10.raw.PG.NrOfPrecursorsUsedForQuantification,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.Quantity,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.Quantity,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.Quantity,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.Quantity,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.Quantity,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.Quantity,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.Quantity,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.Quantity,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.Quantity,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.Quantity,[11] yanliu_20180406_Phos_Noco_1.raw.PG.Quantity,[12] yanliu_20180406_Phos_Noco_2.raw.PG.Quantity,[13] yanliu_20180406_Phos_Noco_3.raw.PG.Quantity,[14] yanliu_20180406_Phos_Noco_4.raw.PG.Quantity,[15] yanliu_20180406_Phos_Noco_5.raw.PG.Quantity,[16] yanliu_20180406_Phos_Noco_6.raw.PG.Quantity,[17] yanliu_20180406_Phos_Noco_7.raw.PG.Quantity,[18] yanliu_20180406_Phos_Noco_8.raw.PG.Quantity,[19] yanliu_20180406_Phos_Noco_9.raw.PG.Quantity,[20] yanliu_20180406_Phos_Noco_10.raw.PG.Quantity
Q9NW82,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,519499.21875,541148.1875,783049.5625,603699.5625,521388.71875,586721.5,429777.40625,588663.4375,394981.21875,526453,664052.875,394134.53125,403737.53125,415792.03125,499003.3125,786680.5625,322724.21875,740285.4375,319729.28125,618471.4375
Q9NW97,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,97763.046875,95978.8515625,110861.3984375,209678.28125,140539.828125,123901.109375,149695.03125,163866.40625,102986.6015625,181318.53125,419328.40625,440561.8125,418444.4375,491927.125,478445.09375,372313.21875,378807.25,388579.4375,433872.96875,377228.9375
Q9NWB6,1,2,1,1,2,2,3,1,1,Filtered,Filtered,1,1,1,Filtered,1,Filtered,Filtered,Filtered,1,14881.181640625,11093.76953125,11919.072265625,9450.8271484375,8325.0703125,9321.53515625,6705.0654296875,11133.4873046875,7311.490234375,Filtered,Filtered,7218.01220703125,3207.35473632813,5799.0693359375,Filtered,5456.74560546875,Filtered,Filtered,Filtered,2913.7646484375
Q9NWF9,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,169153.21875,187906.65625,167024.21875,167670.640625,191796.65625,209452.53125,241320.53125,186872.765625,131882.5625,204939.921875,302475.5,347663.65625,276407.0625,294425.15625,336510.1875,229377.296875,218300.15625,290417.375,292910.5,205772.203125
Q9NWH9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9032568,7762978.5,7922774,8929534,8638812,8985544,7940279.5,8063025.5,5805873.5,7524389,4223538.5,6897044.5,6144770.5,7576475.5,7702529.5,7719157,6893632,6674834,7455928,6238207.5
Q9NWK9,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,896076.9375,1145781,805376.375,483016.90625,1061439.125,430118.875,529559.9375,568966.3125,369839.3125,385945.09375,505276.46875,1400232.25,689545.875,1091460.75,1035184.5,508977.65625,433920.75,400484.8125,498994,377974.03125
Q9NWL6,1,1,1,Filtered,1,1,1,1,Filtered,1,1,1,1,2,1,1,2,1,2,2,19517.43359375,25998.13671875,23253.546875,Filtered,24322.06640625,25360.505859375,24359.197265625,29463.75390625,Filtered,15665.525390625,200590.96875,305927.28125,133420.765625,155648.875,211763.3125,178333.15625,139382.421875,133457.484375,143570.375,109911.9765625
Q9NWM3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,904118.5,1376570.125,888598.625,763965.25,1331157.125,1128788.75,768612.4375,902871.25,701334.125,854084.4375,690949.625,875833,603939.25,685086.6875,612128.4375,739728.25,571694.8125,571587.375,705664.875,624074.25
Q9NWQ4,1,1,1,Filtered,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,80595.0234375,54580.359375,87377.046875,Filtered,62915.9140625,98374.109375,87368.7578125,77163.59375,57988.12890625,60547.16015625,184241.09375,138794.5625,122031.890625,175618.53125,195546.703125,171437.265625,139743.578125,138628.421875,168202.03125,184023.328125
Q9NWS0,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,105867.0625,81678.109375,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q9NWS9,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,Filtered,2,1,354624,217359.765625,381051.4375,449661.375,273893.71875,311380.96875,361634.15625,244388,297778.40625,260849.53125,99429.9453125,120308.359375,102873.6328125,136556.109375,104926.390625,148458.171875,109665.0390625,Filtered,131356.96875,108076.828125
Q9NWT1,2,1,Filtered,2,2,1,1,1,Filtered,1,3,1,3,1,2,1,2,1,Filtered,2,2882648.5,3523611.5,Filtered,1735210.125,2586897.25,826043.5,3205316.25,3114280.5,Filtered,2737687.5,3933371,2539559.5,4943371,1726078.75,4069410,7855134,5535773.5,7164092,Filtered,5107287
Q9NWT8,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,37127.0859375,50983.09765625,37343.0625,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,50385.62890625,Filtered,Filtered,Filtered
Q9NWU2,1,Filtered,1,1,1,1,1,1,1,1,Filtered,1,1,1,1,1,1,1,1,1,70092.46875,Filtered,83728.453125,83725.2734375,57405.42578125,84573.171875,65443.4765625,66610.5234375,1120550.375,96059.4375,Filtered,737153.8125,1161120.5,1118722,1480798.5,1307879.625,40274.59765625,1201554.125,795204.3125,1082561.5
Q9NWU5,1,1,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,1,2,1,1,Filtered,Filtered,2,2,1,1,106950.0703125,67060.8984375,Filtered,Filtered,101093.015625,143670.015625,Filtered,Filtered,Filtered,Filtered,41425.9921875,45964.1328125,38554.3984375,77982.140625,Filtered,Filtered,77823.96875,97444.703125,75249.8359375,104176.2421875
Q9NWV8,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,379954.96875,729944.25,580801.0625,899929.5,718244,646642.5625,647563.875,369757.8125,78976.0234375,90473.3671875,439795.5625,619080.8125,336492.5625,716853.25,620246,466615.0625,313468.8125,512509.875,293122.84375,387705.375
Q9NWW5,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,837817.125,1256674,1458003.125,1292867.375,1179384.25,1549678.625,1495353.25,1861007.375,1019144.75,1236811.75,1760219.625,2225783.5,1085857.75,1833241.25,1007127.375,1320857.25,1556077.75,1040670.5625,1963342.125,1148925.75
Q9NWX6,1,Filtered,1,1,1,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,1,33655.765625,Filtered,50247.16015625,50221.79296875,15635.1875,Filtered,Filtered,Filtered,Filtered,25772.34375,13662.5068359375,Filtered,Filtered,Filtered,Filtered,Filtered,10543.1318359375,14420.2294921875,Filtered,13472.1953125
Q9NWY4,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,45644.859375,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q9NWZ5,1,1,1,2,1,1,1,Filtered,1,3,3,3,3,3,3,3,3,3,3,3,437156.21875,740920.375,531342.5,298248.5625,141816.859375,509943.34375,318316.34375,Filtered,451542.375,318135.28125,558865.25,644291.8125,523215.53125,756862.9375,724417.5625,734247.875,675320.125,568490.0625,690772.3125,525665.125
Q9NWZ8,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,56978.6171875,Filtered,46251.4921875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q9NX00,1,Filtered,1,Filtered,Filtered,1,1,Filtered,1,Filtered,1,1,1,1,1,1,1,1,1,1,170816.6875,Filtered,170241.09375,Filtered,Filtered,232221,167050.046875,Filtered,139895.46875,Filtered,349618.21875,204436.921875,272730.84375,348614.28125,308484.625,346498.46875,300552.09375,279590.21875,307071.40625,317490.71875
Q9NX01,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,2,2,1,1,1,2,1,1,2,2,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,45097.62890625,Filtered,Filtered,Filtered,153359.640625,200778.78125,381342.8125,413911.90625,382314.65625,182216.515625,349870.3125,347930.25,198651.125,190040.9375
Q9NX08,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,32932.97265625,37949.78515625,37256.5390625,21036.90234375,30947.546875,38635.9453125,25298.2421875,25566.30078125,31529.51171875,36639.3984375,18235.66796875,18401.748046875,18772.91015625,17949.6015625,19419.423828125,19929.3125,28014.673828125,28834.9375,26180.66796875,27218.623046875
Q9NX20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,231456.75,354302.15625,381019.15625,176270.140625,340331.9375,377930.15625,223077.90625,264342.125,166625.484375,269277.59375,234506.21875,303613.9375,124403.9375,252684.765625,196536.09375,130930.3359375,116688.0859375,243295.421875,219445.09375,222828.46875
Q9NX24,2,1,2,1,1,1,1,2,2,2,3,2,3,2,2,2,2,3,2,3,88694.4140625,176222.234375,79470.3515625,19842.41015625,134412.328125,106743.0078125,19195.1328125,26576.365234375,51672.375,19210.1875,84885.59375,129896.4140625,77428.3359375,119878.515625,141757.6875,117452.5078125,106344.90625,78846.21875,120835.6875,67515.90625
Q9NX31,1,Filtered,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,1,18915.99609375,Filtered,11798.9208984375,9538.3798828125,10295.3828125,25991.724609375,16657.861328125,19269.345703125,17751.099609375,Filtered,Filtered,Filtered,Filtered,Filtered,14389.4306640625,23129.068359375,Filtered,Filtered,Filtered,7227.37060546875
Q9NX40,4,5,5,4,4,4,5,5,5,5,5,5,4,4,5,4,4,5,5,5,1221899.75,744969.75,748783.875,1513902.125,1179586.5,1367901.625,830692.125,857692.25,677480.5625,790884.5,2285629,2198493,2440917,2873562,2129984.5,2068660.625,1813249.75,1895908.875,2103746.5,1933686.5
Q9NX46,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,75635.625,127170.0625,Filtered,Filtered,82844.8359375,Filtered,Filtered,52350.1796875
Q9NX55,5,2,4,4,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,5,39472.8125,42868.328125,60919.875,45606.06640625,54455.25,80156.453125,58403.9609375,46411.6796875,46496.859375,50202.81640625,74824.6875,67497.75,56064.67578125,63090.375,82780.8984375,80222,72728.2421875,76404.140625,71815.859375,43643.4765625
Q9NX58,4,3,3,3,3,3,3,4,3,3,4,3,4,4,4,3,4,4,4,4,82281.40625,83670.5546875,76270.890625,72707.828125,80675.8984375,90642.171875,44396.12109375,65461.06640625,61296.4140625,69535.2421875,95500.3828125,98296.546875,66465.125,75338.8125,61576.7578125,138815.015625,69473.6171875,51296.9375,96657.09375,73923.2578125
Q9NX63,3,3,2,2,2,2,3,3,4,4,2,2,2,2,2,2,2,2,2,3,2650457.75,1934676,3286870.75,4052671.25,3447544,3960255,2469934,2599498.25,2077250.5,2310562.75,2790562.5,2430086.5,2602947.25,2724526.25,3065704.5,3356966.75,2724889.5,2588155.25,2497646,1621187.625
Q9NX70,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,606323.5,695396.25,610971.25,534428.125,742349.3125,683206.6875,601928.6875,610276.75,466347.25,548499.625,456762.65625,548166.5,389642.03125,460282.90625,433933.625,378619.875,455083.21875,424122.6875,519364.59375,402282.625
Q9NX74,1,2,2,1,1,2,2,2,1,2,2,2,2,2,3,3,3,2,2,3,106568.34375,81953.515625,48903.5234375,73459.0390625,85528.0234375,68163.8671875,52897.03515625,63938.484375,60779.89453125,62476.69921875,446081.375,496952.28125,438316.0625,435277.25,312364.15625,309841.09375,285733.34375,333718.53125,92290.078125,257709.46875
Q9NX76,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,895392.375,2074724,1745057.875,1405631.5,1267449.75,1024789,825945.6875,1451132.125,1255263,910480.8125
Q9NX94,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,3,3,338483.40625,297391.96875,356781.90625,369770.0625,388384.4375,267107.34375,343709.78125,342218.375,282925.46875,319906,67503.0390625,125649,145180.8125,209392.9375,162746.734375,210833.84375,184747.734375,313568.9375,123379.5390625,116500.3046875
Q9NXC5,Filtered,1,Filtered,1,1,1,Filtered,1,1,1,1,2,Filtered,1,1,1,1,1,2,1,Filtered,2240318.25,Filtered,1955906.75,2135294.5,2062555,Filtered,1698285.125,1497334.625,1873828.375,1907912.5,1157271.875,Filtered,2345179.75,2226721.25,2161801.25,19092.5703125,2048567.875,1135533.875,13523.140625
Q9NXE4,2,2,2,2,2,2,2,3,1,2,5,6,6,5,5,4,5,5,5,5,358885.8125,395386.375,302714.34375,349648.5625,470093,374597.4375,386406.0625,236567.0625,354155.3125,304118.5625,1438249.25,1033999.625,960683.6875,1700635.25,1517284.75,1641490.5,1480000.75,1207275.375,1713752,966318.9375
Q9NXE8,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,489993.375,342215,326302.125,345516.375,422387.75,354578.59375,314802.96875,297859.25,276998.46875,302568.625,399672.1875,498775.78125,461673.28125,401290.53125,527446.625,468368.8125,364873.96875,388301.5,382010.71875,413113.3125
Q9NXF1,Filtered,1,1,1,Filtered,1,1,Filtered,1,1,2,2,2,2,2,2,2,2,2,2,Filtered,75592.53125,136706.8125,122427.59375,Filtered,132513.875,110026.15625,Filtered,90246.6953125,104249.5625,707241.8125,691299.625,644601.5,744855.875,716250,625753.125,610628.8125,547543.5,600182.375,487772
Q9NXG2,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,664601.875,828862.25,828180.25,1073613,651636.125,847570.5625,575628.25,668382.125,487057.53125,699189.9375,483706.21875,524921.375,508335.53125,540893.9375,770890.875,539114.625,499055.625,585739,606204,484116.59375
Q9NXH8,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,2,1,2,1,1,2,1,2,2,2,Filtered,41198.79296875,Filtered,Filtered,41761.25390625,Filtered,Filtered,Filtered,Filtered,Filtered,91344.609375,121879.171875,117923.515625,163053.03125,135334.625,113191.921875,119532.96875,91721.84375,98203.921875,106398.921875
Q9NXH9,3,1,4,4,2,4,4,2,3,4,4,3,3,3,3,2,3,3,2,2,100283.015625,102192.1484375,136596.625,120224.015625,139012.734375,166889.875,125358.484375,285113.21875,158277.75,181298.484375,134398.640625,217189.390625,203078.25,160697.21875,171791.734375,314882.25,163983.40625,168277.90625,203866.75,214721.125
Q9NXL9,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1148512.75,1177461.875,1293270.375,793613.25,1850895.875,1549786.625,969827.75,1013930.9375,715459.4375,890217.4375,790435.625,922456.8125,620816,833232.0625,521169.9375,740932.125,384097.46875,564923.625,819148.5625,702562.3125
Q9NXR1,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,234411.3125,349396.03125,215297.875,243467.53125,252196.421875,259189.875,193592.25,220164.34375,177527.015625,245015.78125,1319809.625,1485790.25,1393966.375,1545929.625,1537308.25,1433251.625,1364711.125,1470747.5,1587660.75,1227702.5
Q9NXR7,1,1,1,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28550.3671875,29707.6640625,31638.970703125,Filtered,Filtered,45185.00390625,42798.19921875,32337.15625,19810.455078125,35184.16796875,95339.4921875,106000.3046875,97241.1875,135154.65625,126019.9296875,107494.921875,96944.578125,110843.3671875,118470.8984375,90282.3203125
Q9NXV2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,42641.7421875,40730.11328125,69960.421875,60740.5390625,46647.34375,58810.296875,38100.1015625,29464.498046875,43832.33984375,38686.56640625,87080.1640625,78473.59375,62287.9921875,73763.515625,85054.1796875,90644.2734375,89607.65625,74054.375,59949.2890625,80355.6484375
Q9NXV6,2,2,2,2,3,2,2,2,2,2,3,3,2,3,3,2,2,3,3,3,36056.265625,58417.25390625,39279.9375,39658.58984375,38256.21875,44188.6171875,42063.28515625,35139.95703125,26362.26171875,31759.236328125,88944.2578125,95468,52928.5234375,88334.0546875,83323.15625,17349.1640625,116579.140625,67187.640625,88346.2890625,73061.5625
Q9NXX6,4,4,3,3,4,4,4,4,4,3,Filtered,3,4,4,4,4,Filtered,Filtered,4,4,346762.34375,348970.03125,435817.5625,362059.53125,342633.375,346422.46875,253913.125,330827.3125,221647.96875,404274.625,Filtered,108549.3125,94961.375,107664.1640625,127928.65625,66513.265625,Filtered,Filtered,104498.203125,69601.5625
Q9NY12,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,15414521,6698794.5,19710298,26790462,22186390,72775272,27845280,31122730,18786698,25084720,41835088,5302252,5499425.5,7805700.5,32891008,38285680,37200896,18981678,7192575.5,11339217
Q9NY27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,787834.4375,780350.1875,1061554.625,1228679.625,998684.5,1268991.25,952556.75,931961.8125,747247.6875,991685.8125,640155.875,703487.625,876837.5625,718500.125,897043.3125,797983,749354.5625,749919.875,615635.375,599803.1875
Q9NY61,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,507590.65625,369251.25,664401.0625,824443.8125,523976.53125,744264.8125,576860.0625,545714.9375,457005.65625,535705,188285.59375,301971.5625,295469.90625,345925.0625,464529.8125,414228.9375,219206.875,339368.375,286869.1875,357105.84375
Q9NYA4,1,1,3,1,2,2,1,2,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,266492.4375,225369.671875,224869.3125,272348.5,162839.34375,254176.515625,262300.9375,224407.75,189730.484375,308465.25,126378.90625,Filtered,Filtered,Filtered,Filtered,Filtered,82425.9296875,Filtered,Filtered,Filtered
Q9NYB0,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5190529.5,5742678,4268717.5,3501358,5709994,3407359.25,3222194.5,4448535,2619937,3330360.5,3754323,4090342.25,3702343.75,3675805,3909695.25,3989478.5,3577912,3581588,4008033,3506206.25
Q9NYB9,4,4,4,4,4,4,4,4,4,4,5,5,3,4,5,5,4,4,5,3,2138107,2244436.75,2437712.25,2137150,2890373,2491957.25,2399055.25,2375554.25,2020208.125,2260159.25,1539847.5,908389.8125,1578803.75,1404732.5,956075.9375,1047738.1875,866989.3125,1080157.625,1109108.625,413903.4375
Q9NYD6,1,1,1,1,Filtered,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47110.41796875,41430.52734375,30666.849609375,29453.3046875,Filtered,45514.6796875,36764.4453125,31319.494140625,36716.234375,41425.59765625,149613.828125,120124.328125,101901.03125,124215.4375,142443.515625,130593.359375,122589.1640625,114861.0703125,127271.03125,92814.4375
Q9NYF3,3,4,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,231506.375,253517.34375,206439.734375,243870.5,229131.375,279540.0625,244476.15625,209681.078125,197557.296875,224369.96875,153271.015625,157973.375,148648.375,162079.375,170342,175473.390625,143452.734375,152174.125,160352.21875,135563.625
Q9NYF8,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,25819568,22520710,21596756,24726438,23546326,26378164,22038820,23236248,20249472,21485212,21139688,22229370,18779060,17927906,21771700,20438162,16971860,17770286,18940516,16704724
Q9NYI0,3,3,3,3,3,3,2,3,2,2,1,1,2,1,1,1,2,1,1,Filtered,308457.75,319072.0625,417822.09375,302493.84375,398798.1875,441981.3125,506923.21875,372967.8125,430643.15625,477792.3125,254024.8125,159337.296875,90707.2734375,152480.859375,122439.9296875,305631.84375,89626.0703125,110492.5625,150723.578125,Filtered
Q9NYJ8,3,4,3,2,4,3,3,2,3,4,3,4,2,3,3,4,3,4,3,3,452424.625,310961.0625,460897.46875,213813.796875,334107.625,214354.90625,472026.40625,145901.125,372993.75,365887.21875,481897.65625,274375.625,97917.125,432129.65625,518448.1875,314679.09375,432427.5625,319897.34375,470094.28125,163960.078125
Q9NYK5,2,2,1,1,2,1,2,1,1,1,1,1,1,Filtered,1,1,1,1,1,1,74203.4296875,74810.875,64766.1171875,56916.36328125,56274.171875,46010.89453125,38427.50390625,66416.828125,142880.046875,82202.359375,30151.673828125,14125.4814453125,86265.0546875,Filtered,46825.671875,43389.5546875,62875.90625,56237.2109375,56705.61328125,57104.375
Q9NYL2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,306053.71875,303104.46875,327511.71875,351572.15625,318924.53125,352696.8125,314738,253614.640625,289458.90625,304698.59375,283182.9375,302258.375,273071.8125,298112.34375,346575.78125,314910.78125,259203,298976.65625,279549.15625,241074.75
Q9NYL9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,284251.3125,264939.40625,320901.9375,511719.5625,296013.15625,361199.375,277787.1875,354238.15625,205538.21875,510719.21875,607359.25,467436.84375,548680.4375,522957.125,1209186.875,1173499.125,614021.8125,503408.3125,425130.75,543975.5
Q9NYM9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,607288,651696.75,497886.1875,554770.5,664388.625,587682.625,575114.25,535071,436392,508529.5,2704417,3043686.5,2887640.5,3340004.25,3000828.5,3005041,2718670.25,2595594.5,2959581.75,2495924.75
Q9NYP3,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,31915.876953125,40919.5234375,24465.158203125,24835.587890625,31257.333984375,23528.849609375,29187.8046875,25309.4453125,22508.91015625,21155.76953125,Filtered,Filtered,Filtered,Filtered,32414.876953125,Filtered,Filtered,Filtered,Filtered,Filtered
Q9NYP9,2,2,2,2,1,2,2,2,2,2,3,1,2,3,2,1,3,1,2,2,62147.8046875,57797.21875,59287.3046875,71100.84375,61715.765625,72214.9453125,60758.203125,62515.64453125,48344.921875,64736.1171875,142339.78125,573486.75,272877.71875,157729.703125,308646.90625,575422.875,139020.578125,492641.1875,303029.21875,263015.46875
Q9NYQ7,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,143008.078125,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q9NYU1,2,Filtered,1,Filtered,Filtered,2,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,1,279723.90625,Filtered,91532.59375,Filtered,Filtered,355284.0625,54789.36328125,88249.3203125,110729.3515625,134547.578125,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,115385.75,Filtered,107040.8984375
Q9NYU2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1019972.5625,1107734.125,1168329.125,958683.25,1566909.375,1381368.875,1298848.875,1158306.125,881426.25,1049300.625,847299.375,835917.9375,589508.3125,758372.4375,744408.0625,812582,1105863.375,845838.8125,816728.375,904111.0625
Q9NYV4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4770311,5326314,4673627,4562919.5,5479564,4800376.5,4490111.5,4265973,3395901.75,4368680.5,4432089.5,4351041,3872238.5,4378257.5,4258213,4404253.5,5386287,3727130.5,4365911.5,5219429.5
Q9NYV6,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,2,3,3,35494.91015625,52280.80078125,32107.236328125,36291.19140625,62377.3671875,36497.92578125,47077.51171875,31107.7265625,23465.23828125,30648.41796875,145346.96875,167318.453125,168188.296875,170946.421875,180573.421875,163893.265625,136076.96875,154906.3125,166135.5625,130957.734375
Q9NYW8,1,1,1,Filtered,1,1,1,1,1,1,4,3,4,4,4,4,4,4,4,4,26906.416015625,27421.064453125,27607.056640625,Filtered,24024.244140625,30274.73046875,31808.794921875,29554.74609375,15369.357421875,28556.078125,44539.4296875,54295.1953125,42868.71484375,53773.80078125,60626.79296875,54286.19140625,59435.9609375,47529.046875,46996.3125,44336.52734375
